num_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets,commercial_assets,luxury_assets,bank_assets,default_label,drift_type,date,month
0,Graduate,No,600000,1600000,10,588,1600000,100000,1100000,300000,0,concept_drift,2024-06-04,6
4,Graduate,Yes,8600000,19200000,4,868,20400000,1500000,32800000,9300000,0,concept_drift,2024-06-07,6
5,Not Graduate,Yes,6500000,23900000,2,507,500000,10200000,15900000,8000000,0,concept_drift,2024-06-23,6
0,Not Graduate,Yes,8000000,30400000,2,776,16600000,1400000,29100000,7800000,0,concept_drift,2024-06-02,6
3,Not Graduate,No,8100000,21600000,4,740,22400000,3700000,16900000,9900000,1,concept_drift,2024-06-17,6
0,Not Graduate,No,3900000,11300000,12,305,5000000,5900000,8800000,2100000,1,concept_drift,2024-06-24,6
4,Not Graduate,Yes,8000000,23200000,14,738,10900000,12100000,19900000,5400000,0,concept_drift,2024-06-08,6
4,Graduate,No,4200000,14600000,6,324,6300000,5900000,11700000,3000000,1,concept_drift,2024-06-23,6
4,Graduate,No,5200000,14100000,16,483,11800000,800000,19200000,2700000,1,concept_drift,2024-06-15,6
1,Graduate,No,5900000,16800000,4,806,11200000,9700000,22800000,7100000,1,concept_drift,2024-06-15,6
4,Not Graduate,No,6300000,21900000,10,538,9600000,5400000,19300000,7800000,1,concept_drift,2024-06-08,6
0,Not Graduate,No,6000000,12400000,2,608,3000000,2100000,17900000,6800000,0,concept_drift,2024-06-16,6
2,Not Graduate,Yes,7500000,17900000,20,734,9100000,5500000,23000000,4900000,0,concept_drift,2024-06-19,6
2,Not Graduate,Yes,6100000,19400000,8,379,5300000,10800000,14300000,4100000,1,concept_drift,2024-06-11,6
0,Graduate,No,1800000,6600000,4,898,2400000,100000,4600000,1400000,0,concept_drift,2024-06-02,6
4,Not Graduate,Yes,6900000,18300000,18,715,8200000,600000,15000000,7500000,0,concept_drift,2024-06-23,6
3,Graduate,Yes,6300000,19900000,12,770,1900000,2400000,15500000,3100000,0,concept_drift,2024-06-24,6
4,Graduate,No,8000000,29100000,4,421,3100000,12000000,27000000,8800000,0,concept_drift,2024-06-17,6
3,Not Graduate,Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,0,concept_drift,2024-06-28,6
1,Graduate,No,2900000,9600000,4,658,8200000,4300000,7000000,2700000,0,concept_drift,2024-06-26,6
5,Not Graduate,Yes,9400000,23100000,6,762,12400000,10200000,22300000,6600000,0,concept_drift,2024-06-16,6
5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,0,concept_drift,2024-06-25,6
4,Graduate,Yes,2600000,9400000,18,481,2700000,4400000,8600000,2400000,0,concept_drift,2024-06-15,6
1,Graduate,Yes,4400000,14700000,8,894,11400000,6300000,9400000,2400000,1,concept_drift,2024-06-13,6
4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,1,concept_drift,2024-06-15,6
0,Graduate,No,1800000,5800000,18,348,2900000,700000,6700000,1000000,0,concept_drift,2024-06-27,6
3,Not Graduate,Yes,7000000,16100000,16,379,2000000,5200000,23000000,10000000,1,concept_drift,2024-06-04,6
0,Graduate,Yes,8500000,20000000,16,786,13300000,7400000,17700000,8900000,0,concept_drift,2024-06-16,6
4,Not Graduate,No,1900000,4000000,10,388,500000,1400000,5600000,900000,1,concept_drift,2024-06-12,6
2,Not Graduate,Yes,2600000,7600000,10,400,6800000,2800000,10100000,3200000,1,concept_drift,2024-06-04,6
0,Graduate,Yes,2700000,8400000,6,744,1200000,4100000,7500000,2000000,0,concept_drift,2024-06-03,6
5,Graduate,Yes,4400000,11800000,20,634,5900000,7300000,15200000,4300000,0,concept_drift,2024-06-22,6
5,Graduate,Yes,1300000,4000000,8,407,3800000,1300000,3500000,1100000,0,concept_drift,2024-06-17,6
1,Graduate,No,1100000,3600000,20,495,1600000,1100000,3100000,500000,1,concept_drift,2024-06-22,6
0,Not Graduate,Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000,1,concept_drift,2024-06-18,6
1,Not Graduate,Yes,1300000,5000000,20,423,900000,800000,3900000,1600000,1,concept_drift,2024-06-25,6
2,Graduate,No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1,concept_drift,2024-06-18,6
2,Graduate,Yes,6900000,25300000,4,763,9000000,3600000,21300000,5500000,0,concept_drift,2024-06-23,6
1,Not Graduate,Yes,3200000,9000000,20,372,2700000,2800000,7200000,3800000,1,concept_drift,2024-06-28,6
0,Graduate,No,9200000,30700000,10,455,24900000,2000000,32900000,5200000,1,concept_drift,2024-06-17,6
1,Not Graduate,Yes,8400000,24700000,18,698,23000000,13200000,32700000,12200000,0,concept_drift,2024-06-12,6
3,Graduate,Yes,4400000,15300000,16,865,1200000,8400000,15000000,3400000,0,concept_drift,2024-06-23,6
