num_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets,commercial_assets,luxury_assets,bank_assets,default_label,drift_type,date,month
3,Graduate,Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,1,none,2024-02-20,2
2,Graduate,No,1500000,3300000,18,440,800000,2300000,3000000,1800000,1,none,2024-02-27,2
4,Graduate,No,9100000,26600000,2,812,23300000,11900000,33100000,10400000,0,none,2024-02-21,2
1,Not Graduate,Yes,3600000,13100000,8,543,2900000,100000,9900000,2700000,1,none,2024-02-04,2
0,Graduate,Yes,6100000,23300000,12,478,3800000,2300000,17700000,4900000,1,none,2024-02-21,2
2,Not Graduate,Yes,4400000,13900000,6,810,13200000,4200000,15000000,5200000,0,none,2024-02-23,2
5,Graduate,No,7300000,17200000,2,345,6100000,8400000,23200000,4900000,1,none,2024-02-16,2
4,Graduate,No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,0,none,2024-02-25,2
5,Not Graduate,No,7600000,27800000,2,753,18400000,12200000,16900000,8000000,0,none,2024-02-07,2
2,Not Graduate,Yes,6000000,13000000,12,462,2100000,2500000,14600000,5600000,1,none,2024-02-13,2
1,Not Graduate,Yes,8300000,26300000,20,530,22800000,11000000,33200000,8000000,1,none,2024-02-21,2
3,Graduate,Yes,600000,1700000,4,576,400000,100000,2100000,500000,0,none,2024-02-10,2
4,Graduate,Yes,8900000,34000000,20,415,13500000,3100000,33600000,12800000,1,none,2024-02-26,2
0,Not Graduate,No,8900000,19100000,2,725,8300000,15000000,19000000,8800000,0,none,2024-02-07,2
2,Not Graduate,No,5200000,16800000,18,369,5400000,8600000,17000000,6800000,1,none,2024-02-14,2
5,Graduate,No,9000000,32800000,4,773,10600000,4100000,18900000,11500000,0,none,2024-02-26,2
2,Graduate,No,7800000,26400000,4,763,2200000,8400000,16600000,6700000,0,none,2024-02-05,2
0,Not Graduate,Yes,2100000,8300000,20,765,-100000,3600000,7700000,2100000,0,none,2024-02-03,2
5,Graduate,No,2300000,4900000,4,529,6200000,3900000,9200000,2000000,1,none,2024-02-23,2
2,Not Graduate,No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,0,none,2024-02-11,2
4,Graduate,Yes,700000,1800000,20,626,500000,600000,1400000,300000,0,none,2024-02-11,2
3,Graduate,Yes,9300000,26100000,14,636,4700000,16100000,34500000,11600000,0,none,2024-02-18,2
2,Not Graduate,No,2400000,6200000,12,860,4900000,3700000,9500000,1100000,0,none,2024-02-15,2
2,Graduate,Yes,8000000,31200000,8,553,6800000,3500000,21000000,10300000,0,none,2024-02-12,2
0,Graduate,Yes,1200000,3200000,18,473,2100000,600000,2400000,1200000,1,none,2024-02-09,2
5,Graduate,Yes,200000,400000,18,822,200000,300000,600000,300000,0,none,2024-02-10,2
0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,1,none,2024-02-26,2
3,Graduate,Yes,3200000,7400000,2,543,3600000,4500000,11200000,4600000,1,none,2024-02-12,2
0,Not Graduate,Yes,1200000,3200000,2,678,1500000,1000000,3400000,900000,0,none,2024-02-17,2
2,Graduate,Yes,2800000,7400000,18,666,100000,2300000,6300000,3400000,0,none,2024-02-06,2
2,Not Graduate,Yes,1200000,2900000,12,330,400000,1600000,3800000,600000,1,none,2024-02-07,2
2,Not Graduate,No,8900000,23100000,4,519,22800000,500000,25200000,4700000,1,none,2024-02-14,2
