num_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets,commercial_assets,luxury_assets,bank_assets,default_label,drift_type,date,month
1,Not Graduate,No,6400000,16400000,6,428,12400000,10900000,23900000,8900000,1,concept_drift,2024-05-05,5
3,Graduate,Yes,5300000,20300000,14,432,15000000,0,17200000,5900000,1,concept_drift,2024-05-19,5
0,Not Graduate,Yes,4700000,17000000,18,802,3600000,1600000,17800000,2700000,0,concept_drift,2024-05-22,5
2,Graduate,No,4100000,14900000,12,571,-100000,5200000,13000000,3400000,0,concept_drift,2024-05-27,5
4,Not Graduate,Yes,400000,1400000,10,665,300000,300000,1500000,200000,0,concept_drift,2024-05-28,5
0,Not Graduate,Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000,1,concept_drift,2024-05-19,5
2,Not Graduate,Yes,5000000,19500000,14,775,3100000,4700000,9900000,6500000,1,concept_drift,2024-05-15,5
1,Not Graduate,No,400000,1600000,16,784,800000,700000,700000,100000,0,concept_drift,2024-05-16,5
0,Graduate,No,2700000,7400000,10,778,6800000,800000,5600000,2800000,1,concept_drift,2024-05-24,5
0,Not Graduate,No,2000000,4700000,2,820,4700000,500000,7900000,1200000,0,concept_drift,2024-05-09,5
3,Not Graduate,No,3900000,11900000,6,607,6600000,6000000,8800000,2000000,0,concept_drift,2024-05-04,5
0,Not Graduate,No,4800000,18800000,16,551,7900000,9400000,17300000,5500000,0,concept_drift,2024-05-15,5
3,Graduate,No,7000000,18900000,2,691,6300000,7400000,15200000,3900000,0,concept_drift,2024-05-25,5
5,Not Graduate,No,3200000,9300000,6,656,7000000,3200000,12700000,4200000,0,concept_drift,2024-05-12,5
3,Not Graduate,Yes,3700000,12700000,18,587,11000000,3100000,8800000,4100000,0,concept_drift,2024-05-23,5
5,Not Graduate,Yes,8500000,25800000,14,786,13900000,11000000,32400000,11300000,1,concept_drift,2024-05-03,5
5,Not Graduate,No,9300000,28300000,12,741,7600000,12900000,32400000,5200000,0,concept_drift,2024-05-23,5
5,Not Graduate,No,500000,1200000,16,499,600000,600000,1500000,200000,1,concept_drift,2024-05-14,5
3,Graduate,Yes,3400000,9700000,20,728,1500000,1500000,7300000,2400000,0,concept_drift,2024-05-17,5
0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,0,concept_drift,2024-05-19,5
4,Graduate,Yes,5300000,14500000,4,352,12600000,4900000,10500000,3500000,1,concept_drift,2024-05-06,5
1,Not Graduate,Yes,9900000,38500000,2,875,19600000,2900000,20200000,6500000,1,concept_drift,2024-05-04,5
4,Graduate,No,8700000,25200000,18,790,25000000,9100000,18400000,8400000,0,concept_drift,2024-05-07,5
2,Graduate,No,700000,2000000,8,806,1900000,1100000,2200000,400000,0,concept_drift,2024-05-19,5
3,Graduate,No,9000000,22700000,16,793,11700000,10800000,35000000,7000000,0,concept_drift,2024-05-17,5
2,Not Graduate,No,2300000,5000000,16,588,2000000,3500000,7000000,1500000,0,concept_drift,2024-05-25,5
0,Graduate,Yes,7300000,23300000,2,616,15700000,5900000,25800000,4100000,0,concept_drift,2024-05-16,5
4,Not Graduate,No,200000,600000,10,404,0,100000,400000,0,1,concept_drift,2024-05-15,5
3,Not Graduate,Yes,8000000,25600000,6,337,8800000,500000,18900000,9800000,1,concept_drift,2024-05-22,5
4,Not Graduate,No,3900000,8800000,14,527,4600000,4900000,14900000,3100000,1,concept_drift,2024-05-08,5
5,Graduate,No,1400000,2900000,4,829,800000,600000,5400000,1600000,0,concept_drift,2024-05-19,5
2,Graduate,Yes,8300000,19500000,4,415,2300000,9400000,21700000,8600000,1,concept_drift,2024-05-08,5
1,Graduate,Yes,5600000,16800000,16,528,7500000,6500000,12300000,3900000,1,concept_drift,2024-05-18,5
