date,month,transaction_amount,customer_age,customer_type,risk_score,num_past_defaults,transaction_frequency,region,default_label,drift_injected
2024-02-16,2,67602.66,24,Corporate,0.0275,1,29,South,0,none
2024-02-08,2,36002.38,57,Corporate,0.2781,0,21,East,0,none
2024-02-26,2,48312.98,26,Retail,0.1575,0,21,North,0,none
2024-02-24,2,48963.01,36,Retail,0.1425,0,21,North,0,none
2024-02-27,2,38270.27,27,SME,0.2285,1,20,South,1,none
2024-02-15,2,63130.93,31,Corporate,0.2769,0,8,West,0,none
2024-02-28,2,26904.19,53,Retail,0.0858,0,27,West,1,none
2024-02-11,2,52925.71,44,Retail,0.1766,0,5,West,0,none
2024-02-07,2,66112.47,38,Retail,0.5281,0,17,North,0,none
2024-02-02,2,61882.45,41,Corporate,0.1945,0,16,North,0,none
2024-02-19,2,57368.23,62,Retail,0.0314,0,26,South,0,none
2024-02-09,2,73779.49,36,Retail,0.1395,0,5,West,0,none
2024-02-18,2,46705.74,43,SME,0.2463,0,17,West,1,none
2024-02-13,2,27129.11,27,Retail,0.1778,1,4,South,0,none
2024-02-23,2,52028.1,25,Retail,0.3995,0,1,North,1,none
2024-02-01,2,48113.57,44,Retail,0.3943,0,22,North,0,none
2024-02-19,2,18262.69,40,Retail,0.0217,0,6,East,0,none
2024-02-13,2,33123.48,52,Retail,0.2549,1,1,East,0,none
2024-02-14,2,31210.61,24,SME,0.1152,1,28,West,1,none
2024-02-17,2,37782.01,49,SME,0.1041,0,24,North,0,none
2024-02-22,2,44732.39,24,Retail,0.5936,0,4,West,1,none
2024-02-20,2,45306.89,35,Retail,0.156,0,2,North,0,none
2024-02-01,2,38317.93,39,Corporate,0.1139,0,13,East,0,none
2024-02-05,2,31190.92,48,Retail,0.322,0,14,South,0,none
2024-02-20,2,55661.78,31,Retail,0.4808,0,17,North,1,none
2024-02-14,2,51748.58,36,SME,0.0945,0,11,East,0,none
2024-02-27,2,52200.07,40,Retail,0.1235,1,3,East,0,none
2024-02-26,2,76685.17,30,Retail,0.2942,3,7,North,1,none
2024-02-27,2,52443.11,25,Retail,0.6315,1,10,West,1,none
2024-02-26,2,44500.13,36,Retail,0.3035,0,11,North,1,none
2024-02-18,2,48412.91,29,Retail,0.5657,0,10,East,1,none
2024-02-13,2,51482.29,22,Retail,0.642,0,8,North,1,none
2024-02-23,2,59236.9,28,Retail,0.3284,1,5,South,1,none
2024-02-12,2,49329.19,52,Corporate,0.3768,0,23,West,0,none
2024-02-15,2,20856.19,39,Retail,0.1845,0,2,North,0,none
2024-02-24,2,43448.78,33,Retail,0.4196,1,28,East,0,none
2024-02-04,2,50022.4,51,Corporate,0.1416,0,28,East,0,none
2024-02-09,2,69563.02,54,SME,0.1268,0,15,West,0,none
2024-02-03,2,38211.57,28,Retail,0.4509,0,16,North,0,none
2024-02-22,2,25471.09,49,Retail,0.1677,0,4,East,0,none
2024-02-11,2,50965.66,24,Retail,0.3113,0,22,West,0,none
2024-02-15,2,62993.55,64,Corporate,0.3908,1,28,South,0,none
2024-02-16,2,44098.66,27,Retail,0.1731,0,28,West,0,none
2024-02-07,2,85745.74,52,Retail,0.0995,1,16,North,1,none
2024-02-07,2,82212.47,59,Retail,0.036,1,12,North,0,none
2024-02-22,2,48912.91,36,Retail,0.1391,1,28,East,0,none
2024-02-09,2,52800.7,28,Retail,0.651,1,14,South,1,none
2024-02-17,2,70530.97,64,Retail,0.141,0,12,North,0,none
2024-02-13,2,48652.48,51,SME,0.0447,0,28,East,0,none
2024-02-09,2,37938.67,48,Corporate,0.5582,0,21,West,0,none
2024-02-09,2,63333.98,38,Retail,0.1162,1,16,West,0,none
2024-02-20,2,56966.19,39,Retail,0.3866,0,16,North,0,none
2024-02-28,2,37889.83,43,Retail,0.0499,0,22,South,0,none
2024-02-12,2,54187.46,47,Retail,0.3423,0,12,East,0,none
2024-02-21,2,47599.09,48,SME,0.5281,2,2,North,1,none
2024-02-19,2,44223.56,61,SME,0.1213,0,23,East,0,none
2024-02-23,2,38212.41,45,Retail,0.1025,0,24,West,0,none
2024-02-15,2,51821.05,29,Retail,0.3151,0,29,East,0,none
2024-02-18,2,46012.14,42,Retail,0.2101,0,14,West,0,none
2024-02-08,2,54270.6,50,Corporate,0.3909,0,11,South,1,none
2024-02-25,2,62297.56,64,Corporate,0.4947,0,9,South,0,none
2024-02-06,2,53473.5,42,SME,0.2785,0,22,West,0,none
2024-02-25,2,53730.27,24,Corporate,0.5253,0,7,North,0,none
2024-02-06,2,41882.34,52,Retail,0.4428,0,29,West,0,none
2024-02-03,2,67615.34,48,Corporate,0.1051,0,12,East,0,none
2024-02-26,2,37272.06,48,Corporate,0.2425,0,29,East,1,none
2024-02-03,2,25820.12,30,Corporate,0.0973,0,17,East,0,none
2024-02-02,2,33935.25,54,Retail,0.3842,0,9,North,0,none
2024-02-05,2,65513.96,54,Corporate,0.338,0,6,South,0,none
2024-02-20,2,56883.47,47,Corporate,0.2424,2,12,South,0,none
2024-02-12,2,69679.14,49,Corporate,0.1821,0,20,East,0,none
2024-02-06,2,30154.23,64,Corporate,0.1712,0,10,North,0,none
2024-02-16,2,84803.27,52,Corporate,0.153,0,9,East,0,none
2024-02-05,2,45744.74,22,Corporate,0.2837,3,12,South,0,none
2024-02-06,2,23594.85,41,Corporate,0.1152,1,1,West,0,none
2024-02-04,2,82936.75,33,Corporate,0.1993,1,2,East,0,none
2024-02-14,2,30348.47,38,Retail,0.1256,0,19,East,0,none
2024-02-03,2,44031.56,36,Retail,0.6433,0,1,East,1,none
2024-02-17,2,46913.72,55,Retail,0.1398,0,16,South,0,none
2024-02-05,2,56661.25,37,Corporate,0.2375,0,16,North,0,none
2024-02-22,2,38130.45,25,Corporate,0.1659,1,18,West,1,none
2024-02-21,2,65589.7,29,SME,0.38,0,18,West,1,none
2024-02-21,2,61304.54,55,Retail,0.3212,0,23,West,1,none
2024-02-28,2,50286.0,46,Retail,0.61,0,26,East,1,none
2024-02-06,2,69864.94,36,Retail,0.3083,1,13,South,1,none
2024-02-20,2,48982.15,49,Retail,0.2549,0,22,West,1,none
2024-02-28,2,45865.31,30,Corporate,0.1487,2,12,East,1,none
2024-02-04,2,79971.54,23,Retail,0.6808,1,9,North,0,none
