date,month,transaction_amount,customer_age,customer_type,risk_score,num_past_defaults,transaction_frequency,region,default_label,drift_injected
2024-06-20,6,43779.79,34,Retail,0.5066,0,17,South,0,concept_drift
2024-06-15,6,42073.72,40,Retail,0.1671,0,3,North,0,concept_drift
2024-06-10,6,65199.12,64,Retail,0.2519,0,15,West,1,concept_drift
2024-06-01,6,58680.84,60,Retail,0.0986,0,14,South,0,concept_drift
2024-06-20,6,64581.79,46,Corporate,0.1706,1,7,West,1,concept_drift
2024-06-22,6,78231.78,36,Retail,0.2562,0,10,East,0,concept_drift
2024-06-22,6,11270.21,41,Corporate,0.3781,0,25,North,0,concept_drift
2024-06-18,6,61306.56,38,Corporate,0.3025,0,29,East,0,concept_drift
2024-06-01,6,57036.9,22,Corporate,0.3788,0,29,West,0,concept_drift
2024-06-12,6,56712.47,50,Corporate,0.3872,1,8,East,0,concept_drift
2024-06-08,6,53608.86,40,Corporate,0.2307,1,11,North,1,concept_drift
2024-06-25,6,53598.23,51,Corporate,0.6599,1,28,North,0,concept_drift
2024-06-09,6,55045.5,46,Corporate,0.1821,1,5,North,1,concept_drift
2024-06-23,6,63589.92,49,Corporate,0.1914,0,3,East,0,concept_drift
2024-06-28,6,62394.44,58,Retail,0.2889,0,25,North,1,concept_drift
2024-06-20,6,49625.62,63,Retail,0.3196,0,20,South,0,concept_drift
2024-06-02,6,47187.85,32,Retail,0.2185,0,9,South,1,concept_drift
2024-06-16,6,50302.3,37,Retail,0.1874,0,19,North,0,concept_drift
2024-06-23,6,43806.86,39,SME,0.3039,0,7,South,1,concept_drift
2024-06-22,6,76703.52,62,Retail,0.3785,0,1,West,0,concept_drift
2024-06-14,6,30938.54,30,Retail,0.3813,0,10,North,1,concept_drift
2024-06-23,6,61246.85,49,Retail,0.1152,0,27,East,0,concept_drift
2024-06-01,6,61157.61,48,SME,0.3333,1,12,South,0,concept_drift
2024-06-14,6,42044.13,59,Retail,0.4185,0,15,South,0,concept_drift
2024-06-20,6,54440.76,44,Retail,0.2162,1,21,South,0,concept_drift
2024-06-17,6,68944.39,64,Corporate,0.189,0,25,South,0,concept_drift
2024-06-23,6,45049.61,43,Corporate,0.3424,0,27,West,0,concept_drift
2024-06-06,6,69679.02,25,Corporate,0.0189,1,25,West,0,concept_drift
2024-06-26,6,66773.53,53,Corporate,0.2941,0,22,West,1,concept_drift
2024-06-08,6,39352.1,45,Corporate,0.1604,0,11,South,0,concept_drift
2024-06-18,6,33379.09,59,Retail,0.3267,0,6,West,0,concept_drift
2024-06-08,6,52481.48,49,Retail,0.2014,0,3,East,1,concept_drift
2024-06-08,6,31395.53,27,SME,0.455,0,28,West,0,concept_drift
2024-06-02,6,6429.47,54,Retail,0.3449,0,9,South,0,concept_drift
2024-06-16,6,42658.82,52,Retail,0.5151,0,17,North,0,concept_drift
2024-06-13,6,82613.78,31,Corporate,0.2337,1,23,South,0,concept_drift
2024-06-27,6,43292.65,33,Corporate,0.1694,0,19,North,1,concept_drift
2024-06-27,6,55692.55,28,Retail,0.1943,0,2,West,1,concept_drift
2024-06-14,6,60499.85,45,Retail,0.3088,0,21,West,0,concept_drift
2024-06-07,6,49382.36,49,Retail,0.0557,0,5,North,0,concept_drift
2024-06-03,6,44995.65,32,Corporate,0.4489,0,18,East,0,concept_drift
2024-06-21,6,68430.75,53,Retail,0.3525,0,12,South,0,concept_drift
2024-06-08,6,50598.74,41,Retail,0.2509,0,24,East,0,concept_drift
2024-06-01,6,48629.21,49,Corporate,0.0236,1,15,South,1,concept_drift
2024-06-17,6,61962.39,22,SME,0.3105,0,14,South,0,concept_drift
2024-06-26,6,34556.56,48,SME,0.2914,0,2,East,0,concept_drift
2024-06-08,6,31053.32,37,SME,0.1662,1,24,East,1,concept_drift
2024-06-06,6,25626.42,57,Retail,0.2895,1,22,North,0,concept_drift
